,기초잔액, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 ,기말잔액
현금잔액,174845110.2,157825248.3,140253467.5,299347522.8,141212446.3,151864128.7,107161322,146937996.1,130076453.8,187129029.7,123417859.1,127234506.8,139543358.2,139543358.2
차입금잔액,500000000,510000000,460000000,280000000,230000000,150000000,170000000,330000000,540000000,816000000,836000000,880000000,909685077.6,909685077.6
