,기초잔액, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 ,기말잔액
현금잔액,139543358.2,186366257.6,103934152.3,140730104.3,138723196.9,119119394,125531904.1,110747109.2,111360552.9,144092307.4,141240302.6,132910051.1,140168241.9,140168241.9
차입금잔액,909685078,"922,085,078","975,685,078","975,685,078","615,685,078","505,685,078","280,000,000","380,000,000","280,000,000","340,000,000","310,000,000","310,000,000","60,000,000",60000000.45
