계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,"1,417,659,509","919,431,746","903,923,412","715,509,600","508,128,214","426,844,712","673,909,363","1,098,718,368","1,033,811,005","933,157,103","577,233,574","1,046,159,452"
KIDS,"53,775,184","23,969,693","37,307,069","41,562,986","23,344,047","21,258,723","27,010,359","40,947,639","32,520,978","45,468,532","26,356,337","41,935,871"
DISCOVERY,"6,465,698","6,806,356","12,349,774","14,034,876","5,765,859","6,119,986","13,933,901","16,123,299","20,616,453","51,758,483","15,465,499","49,962,142"
DUVETICA,"17,880,780","300,000","300,000","300,000",0,0,0,0,0,0,0,0
SUPRA,"2,630,168","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000"
실판매출,"648,125,437","402,943,319","409,478,112","337,293,829","263,803,593","211,718,487","309,944,855","487,082,351","456,216,581","478,288,057","288,138,929","492,795,968"
매출원가,"458,765,420","290,954,834","293,386,912","220,333,700","163,332,782","136,991,932","207,669,903","352,730,090","329,268,532","325,718,736","190,988,502","351,048,201"
평가감,"16,561,250","26,333,902","25,508,427","-573,502","8,652,780","11,020,809","-9,377,698","-11,707,183","-11,421,636","-16,179,892","-12,683,259","-12,696,122"
급여(매장),"4,311,613","6,177,671","3,148,986","3,777,032","4,411,344","3,593,412","2,945,711","3,136,140","3,592,499","5,121,823","3,347,232","3,779,916"
복리후생비(매장),"2,408,719","2,134,352","2,110,907","2,367,989","2,084,179","2,093,542","2,726,384","2,378,446","2,378,446","3,036,014","2,521,744","2,576,509"
플랫폼수수료,"6,934,437","3,423,870","5,273,402","4,885,988","5,708,399","4,467,802","3,219,075","3,962,496","4,769,873","8,525,649","9,854,216","6,920,686"
TP수수료,"7,293,513","4,517,757","5,741,274","5,787,636","6,819,564","5,394,299","3,884,374","4,058,153","5,634,066","8,496,203","12,405,233","7,171,569"
직접광고비,"10,608,368","3,556,541","7,519,196","6,283,313","14,124,371","8,399,037","4,023,947","6,125,991","8,385,344","27,605,367","14,908,418","10,524,109"
대리상지원금,"20,563,253","11,665,298","12,098,783","10,153,139","5,175,830","5,322,770","9,937,295","15,687,296","14,597,023","12,678,151","6,637,445","16,214,375"
물류비,"11,103,083","6,622,724","8,105,600","6,991,709","6,966,236","4,844,753","5,399,487","7,419,091","7,541,190","13,521,437","7,876,664","9,860,239"
매장임차료,"14,150,212","14,378,875","12,214,443","12,291,046","12,299,416","11,250,178","11,222,757","11,483,802","11,834,330","14,435,258","13,915,816","16,051,280"
감가상각비,"928,762","912,554","888,027","940,719","929,440","1,033,008","1,016,715","1,035,045","1,030,754","1,088,313","1,085,246","1,125,097"
기타(직접비),"1,248,068","1,601,256","1,767,029","2,009,576","1,849,018","1,936,473","1,143,068","1,626,493","1,390,576","2,752,515","1,623,893","1,980,746"
급여(사무실),"8,796,211","14,675,113","3,914,710","9,274,985","9,277,687","9,148,727","9,146,809","9,149,115","8,852,154","8,813,235","8,807,299","8,873,640"
복리후생비(사무실),"2,875,151","4,598,336","2,722,824","2,866,597","3,177,423","2,613,003","3,194,798","2,906,414","2,989,295","3,234,810","2,730,015","3,375,115"
광고비,"18,588,946","18,764,422","16,269,384","17,834,457","17,782,504","14,084,237","13,986,830","22,120,285","19,940,303","20,140,544","20,396,688","12,820,280"
수주회,"7,510,868","700,000","260,000",0,0,0,"300,000",6000000,"60,000","900,000",0,0
지급수수료,"1,317,528","1,566,647","2,398,816","1,990,459","2,596,425","2,301,593","1,683,401","1,752,394","2,543,590","1,192,894","1,909,206","2,147,116"
임차료,"1,910,923","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464"
감가상각비(영업비),"388,199","377,531","374,744","377,684","372,417","370,978","368,800","363,849","353,622","355,868","355,061","352,966"
세금과공과,"390,769","218,517","211,279","146,864","1,893,897","1,656,478","894,375","970,072","1,405,114","3,572,559","1,333,015","4,540,560"
기타(영업비),"326,307","189,165","437,771","415,672","504,582","460,071","440,617","391,338","622,421","432,412","426,266","385,899"
