계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
현금 및 현금성자산,"121,282,734","146,002,472","138,831,958","146,813,424","133,062,224","142,557,550","190,395,678","143,981,158","158,607,811","155,041,870","110,855,366","174,845,111"
직영AR,"60,887,693","50,915,906","34,606,914","29,379,271","21,563,585","18,812,726","27,816,618","53,797,652","78,767,940","82,812,910","60,452,552","55,877,856"
대리상AR,"570,682,977","477,220,262","324,360,733","275,363,524","202,109,331","176,326,313","260,717,227","504,230,039","738,269,431","776,181,780","566,604,525","523,727,202"
재고자산,"777,054,179","924,175,046","732,757,300","505,653,140","515,753,403","604,181,741","896,401,646","1,093,050,044","924,530,891","710,537,347","712,677,306","701,658,757"
선급금(본사), - , - ,"300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","100,000,000", - , - ,"470,000,000","470,000,000"
선급금(기타),"23,635,560","22,803,854","57,008,028","24,703,230","29,702,949","41,314,956","20,454,640","22,595,892","38,539,283","47,223,580","33,252,567","31,427,352"
기타 유동자산,"69,004,495","64,948,458","36,634,918","60,246,796","63,782,075","38,219,183","61,170,326","60,340,309","57,222,329","56,086,682","50,809,374","57,792,103"
사용권자산,"207,504,008","207,504,008","184,457,786","184,457,786","184,457,786","210,416,155","210,416,155","210,416,155","205,385,358","205,385,358","205,385,358","234,526,114"
이연법인세자산,"60,445,257","60,445,257","58,428,149","60,445,257","60,551,994","54,855,584","60,551,994","60,551,994","49,953,433","60,551,994","60,551,994","80,127,156"
"유,무형자산","55,750,888","53,889,892","53,263,705","53,063,581","55,430,600","53,504,559","53,418,552","50,795,090","52,458,513","52,920,670","52,873,299","51,750,958"
본사 AP,"302,833,217","265,475,229","129,724,474","54,417,861","132,067,076","168,986,866","418,616,194","524,796,611","265,022,330","142,537,167","227,674,175","329,565,184"
제품 AP,"80,982,595","70,992,453","34,690,463","14,552,233","35,316,914","45,189,874","111,944,872","140,339,266","70,871,341","38,116,789","60,883,828","88,131,164"
차입금,"100,000,000","240,000,000","390,000,000","240,000,000", - , - ,"100,000,000","160,000,000","460,000,000","460,000,000","510,000,000","500,000,000"
대리상선수금,"409,428,337","414,681,688","416,033,330","417,073,723","416,918,732","419,760,452","416,284,501","418,676,014","421,648,386","423,095,438","454,760,830","424,963,762"
대리상지원금,"158,223,202","158,223,202","158,223,202","108,223,202","158,223,202","158,223,202","158,223,202","158,223,202","178,223,202","228,223,202","233,223,202","158,223,202"
기타 유동부채,"263,506,208","213,641,507","177,220,194","161,742,532","149,754,812","174,476,487","175,816,845","187,891,327","186,837,773","180,244,094","194,764,980","190,978,689"
"리스부채(장,단기)","219,647,506","219,647,506","196,841,950","196,841,950","196,841,950","223,041,872","196,841,950","196,841,950","220,588,114","196,841,950","196,841,950","247,089,330"
장기보증금,"27,600,000","27,800,000","27,900,000","27,400,000","27,600,000","27,600,000","27,500,000","27,500,000","27,500,000","27,300,000","26,900,000","26,854,250"
자본금,"35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903"
이익잉여금,"348,395,822","361,812,665","354,084,976","384,243,605","414,060,355","387,279,109","440,484,366","449,859,059","437,412,940","414,752,647","382,782,471","380,296,124"
